"time","n2o_emissions","trialnum"
1750,NA,1
1751,NA,1
1752,NA,1
1753,NA,1
1754,NA,1
1755,NA,1
1756,NA,1
1757,NA,1
1758,NA,1
1759,NA,1
1760,NA,1
1761,NA,1
1762,NA,1
1763,NA,1
1764,NA,1
1765,NA,1
1766,NA,1
1767,NA,1
1768,NA,1
1769,NA,1
1770,NA,1
1771,NA,1
1772,NA,1
1773,NA,1
1774,NA,1
1775,NA,1
1776,NA,1
1777,NA,1
1778,NA,1
1779,NA,1
1780,NA,1
1781,NA,1
1782,NA,1
1783,NA,1
1784,NA,1
1785,NA,1
1786,NA,1
1787,NA,1
1788,NA,1
1789,NA,1
1790,NA,1
1791,NA,1
1792,NA,1
1793,NA,1
1794,NA,1
1795,NA,1
1796,NA,1
1797,NA,1
1798,NA,1
1799,NA,1
1800,NA,1
1801,NA,1
1802,NA,1
1803,NA,1
1804,NA,1
1805,NA,1
1806,NA,1
1807,NA,1
1808,NA,1
1809,NA,1
1810,NA,1
1811,NA,1
1812,NA,1
1813,NA,1
1814,NA,1
1815,NA,1
1816,NA,1
1817,NA,1
1818,NA,1
1819,NA,1
1820,NA,1
1821,NA,1
1822,NA,1
1823,NA,1
1824,NA,1
1825,NA,1
1826,NA,1
1827,NA,1
1828,NA,1
1829,NA,1
1830,NA,1
1831,NA,1
1832,NA,1
1833,NA,1
1834,NA,1
1835,NA,1
1836,NA,1
1837,NA,1
1838,NA,1
1839,NA,1
1840,NA,1
1841,NA,1
1842,NA,1
1843,NA,1
1844,NA,1
1845,NA,1
1846,NA,1
1847,NA,1
1848,NA,1
1849,NA,1
1850,NA,1
1851,NA,1
1852,NA,1
1853,NA,1
1854,NA,1
1855,NA,1
1856,NA,1
1857,NA,1
1858,NA,1
1859,NA,1
1860,NA,1
1861,NA,1
1862,NA,1
1863,NA,1
1864,NA,1
1865,NA,1
1866,NA,1
1867,NA,1
1868,NA,1
1869,NA,1
1870,NA,1
1871,NA,1
1872,NA,1
1873,NA,1
1874,NA,1
1875,NA,1
1876,NA,1
1877,NA,1
1878,NA,1
1879,NA,1
1880,NA,1
1881,NA,1
1882,NA,1
1883,NA,1
1884,NA,1
1885,NA,1
1886,NA,1
1887,NA,1
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,7.205451799,1
2021,7.253626001940576,1
2022,7.29856717394432,1
2023,7.340391817910131,1
2024,7.3792164364131185,1
2025,7.415157532319427,1
2026,7.448331608262379,1
2027,7.478855167224538,1
2028,7.506844711722806,1
2029,7.532416744623333,1
2030,7.555687768617645,1
2031,7.57677428657189,1
2032,7.595792801061181,1
2033,7.612859814893454,1
2034,7.628091830934865,1
2035,7.641605351818725,1
2036,7.653516880352983,1
2037,7.66394291917095,1
2038,7.672999971196987,1
2039,7.6808045391226205,1
2040,7.687473125581164,1
2041,7.693122233496979,1
2042,7.697868365386967,1
2043,7.701828024291899,1
2044,7.705117712786887,1
2045,7.707853933621664,1
2046,7.710153189604171,1
2047,7.712131983484143,1
2048,7.713906817953102,1
2049,7.715594195818994,1
2050,7.717310619770137,1
2051,7.718458838498918,1
2052,7.718492151179817,1
2053,7.717442814362583,1
2054,7.715343084681081,1
2055,7.712225218652746,1
2056,7.708121472940547,1
2057,7.703064104105577,1
2058,7.697085368738044,1
2059,7.69021752338449,1
2060,7.682492824678775,1
2061,7.673943529167445,1
2062,7.66460189348436,1
2063,7.654500174132407,1
2064,7.643670627803656,1
2065,7.632145510986446,1
2066,7.619957080343736,1
2067,7.607137592392974,1
2068,7.593719303782564,1
2069,7.579734471073607,1
2070,7.565215350827202,1
2071,7.550194199662656,1
2072,7.534703274155618,1
2073,7.518774830867187,1
2074,7.502441126431222,1
2075,7.485734417394269,1
2076,7.468686960361083,1
2077,7.451331011907314,1
2078,7.433698828637716,1
2079,7.415822667098839,1
2080,7.397734783909982,1
2081,7.379467435632252,1
2082,7.361052878914052,1
2083,7.342523370229173,1
2084,7.323911166284233,1
2085,7.30524852356757,1
2086,7.286567698727595,1
2087,7.267900948296301,1
2088,7.2492805289512035,1
2089,7.230738697151537,1
2090,7.21230770960392,1
2091,7.194019822811242,1
2092,7.175907293392811,1
2093,7.1580023779242765,1
2094,7.140337332995841,1
2095,7.122944415197708,1
2096,7.10585588113463,1
2097,7.089103987294948,1
2098,7.07272099039983,1
2099,7.05673914695217,1
2100,7.041190713581879,1
2101,7.025513360786134,1
2102,7.009586128100637,1
2103,6.99342095389875,1
2104,6.9770297766299345,1
2105,6.960424534670891,1
2106,6.9436171664565345,1
2107,6.926619610363558,1
2108,6.9094438048414295,1
2109,6.892101688252297,1
2110,6.874605199060169,1
2111,6.856966275612648,1
2112,6.839196856359194,1
2113,6.821308879705611,1
2114,6.803314284043155,1
2115,6.785225007806729,1
2116,6.767052989365767,1
2117,6.748810167169723,1
2118,6.730508479602576,1
2119,6.712159865084685,1
2120,6.693776262014581,1
2121,6.675369608812615,1
2122,6.656951843884598,1
2123,6.638534905629057,1
2124,6.620130732466351,1
2125,6.60175126278773,1
2126,6.583408435028104,1
2127,6.565114187586006,1
2128,6.546880458859959,1
2129,6.528719187270325,1
2130,6.510642311222907,1
2131,6.49266176911624,1
2132,6.474789499377947,1
2133,6.457037440406565,1
2134,6.439417530607899,1
2135,6.421941708395024,1
2136,6.404621912181027,1
2137,6.3874700803498845,1
2138,6.370498151336505,1
2139,6.353718063561247,1
2140,6.337141755393531,1
2141,6.320781165275547,1
2142,6.304648231598548,1
2143,6.288754892768337,1
2144,6.273113087205274,1
2145,6.257734753329715,1
2146,6.242631829518358,1
2147,6.227816254206117,1
2148,6.213299965784244,1
2149,6.199094902673097,1
2150,6.185213003277975,1
2151,6.171434136482277,1
2152,6.157858750655579,1
2153,6.144482969411912,1
2154,6.1313029163848105,1
2155,6.1183147151969015,1
2156,6.105514489467168,1
2157,6.092898362836421,1
2158,6.080462458914552,1
2159,6.06820290133328,1
2160,6.056115813724317,1
2161,6.044197319706655,1
2162,6.032443542910188,1
2163,6.020850606953901,1
2164,6.009414635474969,1
2165,5.998131752086921,1
2166,5.986998080417833,1
2167,5.976009744106704,1
2168,5.965162866763422,1
2169,5.954453572021522,1
2170,5.943877983501808,1
2171,5.933432224835999,1
2172,5.923112419646714,1
2173,5.9129146915584,1
2174,5.90283516420459,1
2175,5.892869961198813,1
2176,5.883015206178244,1
2177,5.873267022758228,1
2178,5.863621534570485,1
2179,5.85407486524491,1
2180,5.844623138398673,1
2181,5.835262477665309,1
2182,5.825989006661984,1
2183,5.816798849018595,1
2184,5.8076881283686825,1
2185,5.798652968323949,1
2186,5.789689492517938,1
2187,5.780793824578724,1
2188,5.77196208813075,1
2189,5.763190406793002,1
2190,5.754474904199015,1
2191,5.745811703975051,1
2192,5.737196929736455,1
2193,5.728626705122225,1
2194,5.7200971537495215,1
2195,5.7116043992500645,1
2196,5.703144565242838,1
2197,5.694713775355921,1
2198,5.686308153221034,1
2199,5.677923822457161,1
2200,5.669556906696616,1
2201,5.661229407757673,1
2202,5.65297994212142,1
2203,5.644807309274255,1
2204,5.636710308705914,1
2205,5.62868773990158,1
2206,5.620738402350981,1
2207,5.612861095542031,1
2208,5.605054618959911,1
2209,5.597317772094356,1
2210,5.589649354432368,1
2211,5.582048165461857,1
2212,5.574513004668915,1
2213,5.567042671544187,1
2214,5.559635965573761,1
2215,5.5522916862428255,1
2216,5.545008633042927,1
2217,5.537785605461068,1
2218,5.530621402983344,1
2219,5.5235148250958455,1
2220,5.516464671291032,1
2221,5.509469741053182,1
2222,5.502528833871112,1
2223,5.495640749231826,1
2224,5.488804286624146,1
2225,5.482018245534163,1
2226,5.475281425450704,1
2227,5.4685926258598565,1
2228,5.461950646252261,1
2229,5.455354286112198,1
2230,5.44880234492939,1
2231,5.442293622189937,1
2232,5.4358269173844755,1
2233,5.429401029997279,1
2234,5.423014759518083,1
2235,5.416666905432975,1
2236,5.410356267230781,1
2237,5.404081644399411,1
2238,5.397841836424958,1
2239,5.391635642797156,1
2240,5.385461863002091,1
2241,5.379319296528592,1
2242,5.373206742863659,1
2243,5.367123001494291,1
2244,5.361066871909315,1
2245,5.35503715359664,1
2246,5.34903264604054,1
2247,5.343052148733478,1
2248,5.337094461160633,1
2249,5.331158382809918,1
2250,5.325242713168337,1
2251,5.319346251724711,1
2252,5.31346779796695,1
2253,5.307606151381152,1
2254,5.301760111456134,1
2255,5.2959284776789,1
2256,5.29011004953736,1
2257,5.28430362652034,1
2258,5.278508008113932,1
2259,5.272721993806045,1
2260,5.266944383083682,1
2261,5.261173975436576,1
2262,5.255409570349911,1
2263,5.249649967313418,1
2264,5.243893965815915,1
2265,5.238140365339858,1
2266,5.232387965377712,1
2267,5.226635565415562,1
2268,5.220881964940417,1
2269,5.215125963442007,1
2270,5.2093663604046005,1
2271,5.203601955318846,1
2272,5.197831547671739,1
2273,5.192053936949377,1
2274,5.186267922641492,1
2275,5.180472304235081,1
2276,5.174665881217151,1
2277,5.1688474530765225,1
2278,5.1630158192992885,1
2279,5.157169779374272,1
2280,5.151308132788473,1
2281,5.145429679030712,1
2282,5.139533217587087,1
2283,5.133617547945504,1
2284,5.12768146959479,1
2285,5.121723782021037,1
2286,5.1157432847139725,1
2287,5.109738777159692,1
2288,5.103709058846108,1
2289,5.097652929260222,1
2290,5.0915691878926745,1
2291,5.085456634226831,1
2292,5.079314067753329,1
2293,5.073140287958268,1
2294,5.066934094329553,1
2295,5.060694286356012,1
2296,5.054419663524642,1
2297,5.048109025322446,1
2298,5.041761171237341,1
2299,5.035374900759,1
2300,5.028969021911145,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,7.205451799,2
2021,7.252999915101101,2
2022,7.296108371869195,2
2023,7.334961990069134,2
2024,7.36974559054943,2
2025,7.400643994042184,2
2026,7.427842021221295,2
2027,7.451524492760656,2
2028,7.471876229858026,2
2029,7.489082052896267,2
2030,7.503326782665681,2
2031,7.514795240073001,2
2032,7.52367224561749,2
2033,7.5301426203222945,2
2034,7.534391185035929,2
2035,7.53660276014125,2
2036,7.536962166486775,2
2037,7.535654225212056,2
2038,7.53286375658354,2
2039,7.528775581566151,2
2040,7.523574521124829,2
2041,7.517445395758841,2
2042,7.5105730260838754,2
2043,7.503142233181277,2
2044,7.495337837899569,2
2045,7.487344660505185,2
2046,7.479347522195894,2
2047,7.471531243587377,2
2048,7.464080645411741,2
2049,7.457180548401084,2
2050,7.4510157733905,2
2051,7.444289316845243,2
2052,7.4364633215300255,2
2053,7.427573523847968,2
2054,7.4176556602615165,2
2055,7.406745467145811,2
2056,7.39487868094875,2
2057,7.3820910380309215,2
2058,7.368418274898431,2
2059,7.353896127926419,2
2060,7.338560333519126,2
2061,7.322446628109901,2
2062,7.305590748161196,2
2063,7.288028430004488,2
2064,7.269795410131339,2
2065,7.250927424945985,2
2066,7.231460210852674,2
2067,7.211429504299304,2
2068,7.190871041719218,2
2069,7.169820559429356,2
2070,7.148313793964917,2
2071,7.126386481671945,2
2072,7.104074358998332,2
2073,7.08141316237743,2
2074,7.058438628228032,2
2075,7.035186492925279,2
2076,7.0116924929461675,2
2077,6.987992364665844,2
2078,6.964121844517651,2
2079,6.940116668949486,2
2080,6.9160125743364915,2
2081,6.891845297141117,2
2082,6.867650573738501,2
2083,6.843464140605647,2
2084,6.819321734117693,2
2085,6.795259090678885,2
2086,6.771311946751668,2
2087,6.7475160387257365,2
2088,6.723907103048987,2
2089,6.700520876140219,2
2090,6.677393094389117,2
2091,6.654559494243587,2
2092,6.632055812093315,2
2093,6.609917784386198,2
2094,6.588181147526484,2
2095,6.566881637918414,2
2096,6.546054992053541,2
2097,6.5257369462633505,2
2098,6.50596323701029,2
2099,6.486769600698608,2
2100,6.468191773784302,2
2101,6.449623291478928,2
2102,6.431075540935125,2
2103,6.41255158595959,2
2104,6.394054490368943,2
2105,6.375587317968892,2
2106,6.35715313257606,2
2107,6.338754997997968,2
2108,6.320395978047601,2
2109,6.302079136532485,2
2110,6.283807537269241,2
2111,6.265584244063576,2
2112,6.24741232073393,2
2113,6.229294831080552,2
2114,6.211234838925521,2
2115,6.193235408072726,2
2116,6.175299602336966,2
2117,6.157430485529404,2
2118,6.13963112145757,2
2119,6.121904573936264,2
2120,6.1042539067766475,2
2121,6.086682183788072,2
2122,6.069192468783512,2
2123,6.051787825572318,2
2124,6.034471317965655,2
2125,6.017246009778318,2
2126,6.0001149648160235,2
2127,5.983081246889925,2
2128,5.96614791981665,2
2129,5.949318047401904,2
2130,5.932594693462307,2
2131,5.915980921803567,2
2132,5.899479796242303,2
2133,5.883094380584224,2
2134,5.866827738645951,2
2135,5.850682934231371,2
2136,5.834663031157105,2
2137,5.818771093234319,2
2138,5.803010184272353,2
2139,5.7873833680841935,2
2140,5.771893708477365,2
2141,5.75654426926667,2
2142,5.741338114259633,2
2143,5.726278307271058,2
2144,5.711367912112109,2
2145,5.696609992592129,2
2146,5.682007612522285,2
2147,5.667563835713737,2
2148,5.65328172597765,2
2149,5.639164347127008,2
2150,5.625214762972031,2
2151,5.6113360057825075,2
2152,5.597598148967335,2
2153,5.584000062185624,2
2154,5.570540615100527,2
2155,5.557218677370659,2
2156,5.544033118660082,2
2157,5.530982808627869,2
2158,5.518066616935358,2
2159,5.505283413245707,2
2160,5.492632067218438,2
2161,5.480111448514436,2
2162,5.467720426795496,2
2163,5.4554578717225,2
2164,5.44332265295816,2
2165,5.431313640161535,2
2166,5.41942970299533,2
2167,5.407669711118616,2
2168,5.39603253419591,2
2169,5.384517041885373,2
2170,5.373122103849709,2
2171,5.361846589749802,2
2172,5.350689369246539,2
2173,5.33964931200262,2
2174,5.328725287678027,2
2175,5.31791616593273,2
2176,5.307220816429436,2
2177,5.296638108830847,2
2178,5.286166912794216,2
2179,5.275806097983151,2
2180,5.265554534058537,2
2181,5.255411090683084,2
2182,5.245374637514943,2
2183,5.235444044217728,2
2184,5.225618180451419,2
2185,5.21589591587781,2
2186,5.206276120158692,2
2187,5.196757662952222,2
2188,5.1873394139229285,2
2189,5.178020242731692,2
2190,5.168799019038487,2
2191,5.159674612503294,2
2192,5.150645892790634,2
2193,5.141711729558666,2
2194,5.132870992471907,2
2195,5.124122551187612,2
2196,5.115465275369387,2
2197,5.106898034678124,2
2198,5.098419698774705,2
2199,5.090029137320017,2
2200,5.081725219976457,2
2201,5.073474603063914,2
2202,5.065329504769579,2
2203,5.057288301731205,2
2204,5.049349370585334,2
2205,5.041511087969413,2
2206,5.033771830519074,2
2207,5.026129974869036,2
2208,5.018583897659482,2
2209,5.011131975526041,2
2210,5.003772585104343,2
2211,4.996504103029109,2
2212,4.989324905941428,2
2213,4.982233370475113,2
2214,4.975227873268523,2
2215,4.968306790955467,2
2216,4.961468500177034,2
2217,4.954711377565218,2
2218,4.948033799759287,2
2219,4.941434143395782,2
2220,4.934910785107604,2
2221,4.928462101536752,2
2222,4.922086469318856,2
2223,4.915782265088637,2
2224,4.909547865480818,2
2225,4.903381647137394,2
2226,4.897281986690359,2
2227,4.891247260780801,2
2228,4.885275846040713,2
2229,4.879366119108454,2
2230,4.8735164566214735,2
2231,4.867725235216312,2
2232,4.861990831529511,2
2233,4.85631162219306,2
2234,4.8506859838535075,2
2235,4.845112293140117,2
2236,4.839588926689428,2
2237,4.834114261143439,2
2238,4.828686673131413,2
2239,4.823304539294439,2
2240,4.817966236269966,2
2241,4.8126701406936245,2
2242,4.8074146291992275,2
2243,4.802198078426043,2
2244,4.7970188650133405,2
2245,4.791875365593112,2
2246,4.78676595680281,2
2247,4.7816890152798806,2
2248,4.776642917661775,2
2249,4.7716260405850335,2
2250,4.766636760684378,2
2251,4.761673454596348,2
2252,4.756734498961123,2
2253,4.751818270413423,2
2254,4.746923145587973,2
2255,4.742047501124945,2
2256,4.737189713656335,2
2257,4.7323481598223225,2
2258,4.727521216259447,2
2259,4.722707259604249,2
2260,4.71790466649054,2
2261,4.713111813558498,2
2262,4.708327077443755,2
2263,4.703548834780122,2
2264,4.698775462208687,2
2265,4.694005336364171,2
2266,4.689236833882205,2
2267,4.6844683314002395,2
2268,4.679698205555724,2
2269,4.6749248329824695,2
2270,4.670146590319746,2
2271,4.665361854205912,2
2272,4.6605690012738705,2
2273,4.6557664081583425,2
2274,4.650952451504963,2
2275,4.646125507942088,2
2276,4.641283954108985,2
2277,4.636426166641284,2
2278,4.631550522174619,2
2279,4.626655397350985,2
2280,4.621739168803286,2
2281,4.6168002131680606,2
2282,4.611836907080031,2
2283,4.606847627180285,2
2284,4.601830750102634,2
2285,4.596784652484528,2
2286,4.5917077109634175,2
2287,4.586598302171295,2
2288,4.581454802752887,2
2289,4.5762755893365465,2
2290,4.571059038565181,2
2291,4.565803527069875,2
2292,4.560507431492624,2
2293,4.555169128468151,2
2294,4.549786994633905,2
2295,4.544359406623698,2
2296,4.53888474107498,2
2297,4.533361374624292,2
2298,4.527787683910903,2
2299,4.522162045569515,2
2300,4.516509892292677,2
